ISRC,Title,Artists,Count
"USUM72016190","Nights Like That (feat. Georgia Ku)",BUNT./Georgia Ku,61
"INS182000196","Humraah (From Malang - Unleash The Madness)",Sachet Tandon/The Fusion Project,61
"USAM19190012","(Everything I Do) I Do It for You",Bryan Adams,52
"NLA320886993","Psychosocial",Slipknot,40
"USAM19190012","(Everything I Do) I Do It For You",Bryan Adams,36
"USAM17702137","(Every Time I Turn Around) Back In Love Again",L.T.D.,34
"USNO11500528","Psychotic Girl",The Black Keys,32
"ARA821800128","Side to Side",Sweet Little Band,29
"QZ8LD1935165","Psycho!",MASN,27
"USVR91425801","Psychosocial",Brooke Fraser,27
"TCACT1646486","Psycho, Pt. 2",Russ,25
"USSM19605818","Psycho: A Suite for Strings: The Murder",Bernard Herrmann/Esa-Pekka Salonen/Los Angeles Philharmonic,22
"USUM71705267","4:00:00 AM","2 Chainz/Travis Scott",22
"USIR10001403","2:01:00 AM",Elastica,21
"USSD12000063","3:33:00 AM",Debi Nova,21
"GBLMB0600012","2:01:00 AM",Elastica,20
"USGR10500632","Winelight",Paul Brown,16
"USUM71318969","Psychopath",St. Vincent,14
"NOUM71501114","2:00:00 AM",Astrid S,14
"USUG11201126","Been Away Too Long",Soundgarden,14
"USQX90900154","Psychopathy Red",Slayer,13
"BRWNV1600005","2:24:00 AM",Maiara & Maraisa,13
"USAT21801527","3:15",Bazzi,13
"USMC18724699","Psychomania",The Damned,12
"USVI21100102","Psychopath",John Lydon,12
"USKRS0326911","2:45:00 AM",Elliott Smith,12
"JPTO00101207","-1",Bloodthirsty Butchers,11
"FR9W12014392","4:17:00 AM",RK,11
"NZSG01400208","Psychosocial",Brooke Fraser,10
"TCAAY1144037","Muevelo, Muevelo",Control,8
"USUM71710007","(Everything I Do) I Do It For You - 2017 Ultimate Edit",Bryan Adams,7
"USAR10700236","Psychopath",Monty Python,7
"USZXT1005074","Psychopathic",Insane Clown Posse,7
"USAM19400013","4th Of July",Soundgarden,7
"USUG11201138","A Thousand Days Before",Soundgarden,7
"USAM19602240","An Unkind",Soundgarden,7
"USAM19602234","Applebite",Soundgarden,7
"USUG11201142","Attrition",Soundgarden,7
"USUM71211018","Been Away Too Long",Soundgarden,7
"GBARL1400323","10 Million People",Example,7
"USAM19910000","All For Love",Bryan Adams,6
"GBUM71808069","All Or Nothing",Bryan Adams,6
"USAM19800331","Before The Night Is Over",Bryan Adams,6
"USSUB1617202","All Your Lies",Soundgarden,5
"USUG11004234","Beyond The Wheel",Soundgarden,5
"USEE10000487","Winelight",Grover Washington  Jr.,5
"#","6:00:00 AM",J. Balvin & Farruko,4
"USSM11900246","Wing",Patti Smith,4
"GMM881200011","Wing$",Macklemore & Ryan Lewis,4
"GMM881200030","Wing$",Macklemore & Ryan Lewis,4
"USRC17703664","Winged Bull",Daryl Hall & John Oates,4
"USUM71302938","Wingman",Billy Currington,4
"USUM71710303","wings",EDEN,4
"FR10S1916176","Wings",Fahrenhaidt,4
"USAN20100379","Wings",Alan Jackson,4
"USSM19605818","Psycho: A Suite for Strings: The Murder","Bernard Herrmann/Esa-Pekka Salonen/Los Angeles Philharmonic",3
"#","5:00:00 AM",Katy B,3
"USNLR1900094","5:15:00 AM",Stephanie Beatriz,3
"MXUM71300426","6:00:00 AM",J Balvin,3
"USAT21103680","6:30:00 AM","Snoop Dogg/Wiz Khalifa",3
"USCA26900229","Ribbon Bow",Karen Dalton,3
"ITC940401548","Everything I Do I Do It for You",Wildside,2
"USAM19602291","(I Wanna Be) Your Underwear",Bryan Adams,2
"USUM70504190","18 Til I Die",Bryan Adams,2
"USAM18490010","Ain't Gonna Cry",Bryan Adams,2
"USAM19190010","All I Want Is You",Bryan Adams,2
"USAM19602296","Black Pearl",Bryan Adams,2
"USSM11602625","Ain't Your Mama",Jennifer Lopez,2
"SEVUM1100103","I Follow Rivers - The Magician Remix",Lykke Li/The Magician,2
"GBHMU1400162","18",One Direction,2
"USPR37110021","(Find A) Reason To Believe",Rod Stewart,2
"USN260810056","(If Loving You Is Wrong) I Don't Want to Be Right",Luther Ingram,2
"GBCEL0700074","505",Arctic Monkeys,2
"USUM70840381","(Coffee's For Closers)",Fall Out Boy,2
"USMC17516682","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song",B.J. Thomas,2
"USMC17402585","I Can't Believe She Gives It All To Me - Single Version",Conway Twitty,2
"USAT20300846","45",Shinedown,2
"#","1.5",Lil Kleine,2
"GBAAA9500144","4",Simple Minds,2
"GBAHS1800732","1999 (Alphalove Remix)","Charli XCX/Troye Sivan",2
"#","BEYONCE HALO",BEYONCE,2
"QM4TX1904131","Black Halo",Black Pistol Fire,2
"FRX201997761","Chalo Chalein",Ritviz,2
"USA560576775","Chemical Halo",Chemlab,2
"USRZR1349713","Electric Halo",Kyng,2
"USUM71810610","Growing Pains (Alphalove Remix)",Alessia Cara,2
"USUR10001479","Halo",Oleander,2
"GBCFB1700490","Halo",Jono McCleery,2
"GBAJH0600290","Halo",Depeche Mode,2
"USRC10301489","12:51",The Strokes,2
"USSM10505054","7:05",Jonas Brothers,2
"DKNE11900014","7:24:00 AM",Volbeat,2
"USRC10001081","8:15:00 AM",The Guess Who,2
"USSUB1512205","10:37",Beach House,2
"#","11:00:00 AM",Incubus,2
"GBAAA1100081","Public Image",Public Image Ltd.,2
"USWB10101183","Pulled Up",Talking Heads,2
"USDW10022230","Wish",Alien Ant Farm,2
"GBARL1500560","Wish",Hurts,2
"USIR10120542","Wish",Nine Inch Nails,2
