ISRC,Title,Artists,Count
"USUM70700329","The Take Over, The Breaks Over",Fall Out Boy,2
"USRC11403043","Ayo","Chris Brown/Tyga",2
"QM7282022872","Dynamite",BTS,2
"USCA28800762","All Too Soon",Duke Ellington,2
"USSM15100024","Always Late (With Your Kisses)",Lefty Frizzell,2
"ES58A1701198","Amorcito Corazon",Los Panchos,2
"#","As Time Goes By",from Casablanca,2
"USNLR1300066","As Time Goes By",Dooley Wilson,2
"UST1C0100443","As Time Goes By",Casablanca,2
"USWWW0124162","At Last",Glenn Miller Orchestra,2
"USNLR1300009","At the Bazaar",Max Steiner,2
"#","Begin The Beguine",Standard,2
"USBB19700689","Begin the Beguine",Artie Shaw and His Orchestra,2
"GBAYE0601415","Ask Me Why (Remastered)",The Beatles,1
"USUM71805992","Back To You - From 13 Reasons Why � Season 2 Soundtrack",Selena Gomez,1
"GBAYE7900587","Bring on the Love (Why Can't We Be Friends Again)",Gloria Jones,1
"USIR20200905","Burn Rubber On Me (Why Do You Wanna Hurt Me)",The Gap Band,1
"USPR38005277","Burn Rubber On Me (Why You Wanna Hurt Me)",The Gap Band,1
"USLXJ0905016","But Why",Reba McEntire,1
"GBARL0300669","Don't Ask Me Why",Eurythmics,1
"USRC15803621","Don't Ask Me Why",Elvis Presley,1
"USSM18000289","Don't Ask Me Why",Billy Joel,1
"USSM19908681","Don't Ask Me Why (I'm Going To Texas)",Asleep At The Wheel,1
"QM4DW1545740","Hit the Quan #HTQ",iLoveMemphis,1
"USNLR1000280","Salmon Dean In the Heartland",Jay Gruska,1
"USPR39402281","( I Still Long To Hold You ) Now And Then",Reba McEntire,1
"GBUM71203928","(All Along The) Watchtower","Devlin/Ed Sheeran",1
"GBUM71204300","(All Along The) Watchtower - Instrumental",Devlin,1
"GBUM71203945","(All Along The) Watchtower - Radio Edit","Devlin/Ed Sheeran",1
"USJI10200371","(And She Said) Take Me Now",Justin Timberlake,1
"USVIC0735102","(B) the Decade of Statues",Between The Buried And Me,1
"USCH30100082","(Can I) Find The Right Words (To Say)",Blondie,1
"USSM10000903","Let's Groove","Earth/Wind & Fire",1
"USRC11601434","Money",Leikeli47,1
"USRC11901655","Motivation",Normani,1
"US5TA2000006","WANNABE",ITZY,1
"GBHMU1100018","What Makes You Beautiful",One Direction,1
"USJI10800838","Womanizer",Britney Spears,1
"USSUB1512205","10:37",Beach House,1
"#","11:00:00 AM",Incubus,1
"#","12:51",Strokes,1
"USRC10301489","12:51",The Strokes,1
"GBAHS1200184","21",Delilah,1
"GBUM71900881","25",The Amazons,1
"USGF19713401","1999",The Seahorses,1
"USUM70903534","From Now On We Are Enemies",Fall Out Boy,1
"GBAFL1300183","#88",Lo-Fang,1
